id,link,cooktime,calories,servingsize,carbs,fats,proteines,description,directions,insertdate,image
00140976-4069-44ba-bef9-1c6f856baa75,https://myfridgefood.com/recipes/breakfast/tater-tot-breakfast-casserole/,45.0,555.0,8.0,29.3,37.6,24.0,,"directions     Preheat oven to 350 degrees.   Cook sausage, drain and spread evenly in the bottom of a pan.    Top with cheese and Bacon Bits   Make your Scrambled Egg mix and pour over the Cheese   Top with frozen tater tots and bake for about 45 minutes.     submitted by  SavorySweetandSatisfying.com - full details here!",2024-08-22,http://myfridgefood.com/media/7275/tatertotbreakfast.jpg
0017c3ad-611b-4172-87b8-3e8e8a15ad3b,https://myfridgefood.com/recipes/crock-pot-recipe-contest/slow-cooker-bbq-beans/,540.0,260.0,8.0,47.8,2.6,12.9,,"directions     Microwave onion, garlic, and oil in bowl, stirring occasionally, until onion is softened, about 5 minutes. Transfer to slow cooker.   Stir water, beans, 1/2 cup barbecue sauce, coffee, sugar, and bacon slices into slow cooker. Cover and cook until beans are tender, 9-11 hours on low, or 5-7 on high.   Discard bacon slices. Stir in remaining 2 tbs barbecue sauce and mustard and let sit until thickened slightly, about 10 minutes. Season with salt, pepper, and hot sauce to taste and serve. This dish can be held on warm setting for 1 to 3 hours before serving. Loosen with additional hot was as needed before serving.     submitted by  PassTheSushi.com - more details here!",2024-08-22,http://myfridgefood.com/media/7232/slowcookerbeans.jpg
0039477c-e995-4c4c-aa27-fb5d09a364a8,https://myfridgefood.com/recipes/entree-pork/simple-pork-tenderloin/,45.0,448.0,6.0,26.0,26.0,31.0,,"directions                          1.Preheat oven to 425 degrees F (220 degrees C).  2.Mix bread crumbs and olive oil in bowl to reach consistency that would be moist enough to stick to the meat when pressed. Place pork on a shallow cooking sheet. Press the crumb mixture onto all sides of the meat until there is no pink showing, usually 1/4 inch thick.  3.Bake for at least 35 minutes until a meat thermometer reads 165 degrees F (75 degrees C) or until there is no pink when the pork is cut. Let the pork rest for 10 minutes, then cut into 1/2 inch slices.",2024-08-22,http://myfridgefood.com/Media/Recipe/1285960548porktend.jpg
00e049ac-2110-4062-aaa1-51931e27d4d6,https://myfridgefood.com/recipes/entree-chicken/cracker-fried-chicken/,25.0,534.0,6.0,38.0,24.0,39.0,,"directions                          Place crackers in a large resealable plastic bag; seal bag and crush crackers until they are coarse crumbs. Add flour, potato flakes, seasoned salt, and pepper to bag and mix well. Beat egg in a shallow dish or bowl; heat oil in a large skillet over medium high heat. One by one, dredge chicken pieces in egg beat, then place in bag with crumb mixture, seal bag and shake to coat. Reduce heat to medium and cook coated chicken in skillet for 15 to 20 minutes, turning frequently, until golden brown and juices run clear.",2024-08-22,http://myfridgefood.com/media/7127/emptyplate-001.jpg
00fd1911-99d5-4f74-a99d-7a581bd7f25f,https://myfridgefood.com/recipes/entree-chicken/orange-stir-fry/,30.0,468.0,4.0,59.3,11.9,33.7,,"directions     In a blender, combine all the ingredients and make a smooth paste. Ensure the garlic is blended in well.   Take a pan and sauté the broccoli until they are cooked nicely. This could take up to 10 minutes. You can also choose to steam the broccoli which should take about 5 minutes. To caramelize the broccoli, add a little sauce to the pan. You can keep it simple as well.   In a pan, sauté the chicken until they are cooked nicely. This can take about 5 minutes. Add some sauce and mix well. Once the chicken is done, remove the pan from the heat.   Mix the chicken, sauce and broccoli in the pan together. Heat the mixture until it has combined well.     submitted by  AllTopFood.com - full details here!",2024-08-22,http://myfridgefood.com/media/7259/orangestirfry.jpg
01299129-b43e-4dae-9a36-750ee897d5e8,https://myfridgefood.com/recipes/entree-chicken/mini-pot-pie-muffins/,20.0,239.0,6.0,19.0,9.1,19.3,,"directions     Mix soup, veggies and chicken in a bowl, season to taste.    Flatten biscuits out and press each one into a spot in a greased muffin pan   Fill each biscuit with soup/chicken/veggie mix.   Bake at 400 for 20 minutes. (sprinkle with cheese if you want)     from  JansChickenDoodleSoup - more here!",2024-08-22,http://myfridgefood.com/media/7469/minichickenpotpies.jpg
0134cdf9-87f8-466a-a434-290c3b772b11,https://myfridgefood.com/recipes/pasta-bilities-contest/ham-and-cheese-pasta/,40.0,617.0,4.0,47.4,31.6,35.9,,"directions     Cook pasta in chicken broth   When done add cream cheese, cheddar cheese and heavy cream and mix well   Cut ham in dices and stir into pasta   Put broccoli and 3 T water in microwave 5 minutes   Mix broccoli in with pasta and ham   Put in casserole dish and add some parmesean cheese and breadcrumbs   Bake on 350 for 20 minutes",2024-08-22,http://myfridgefood.com/media/6949/meredith-strickland-ham-and-cheese-pasta.jpg
014c49ae-2b8d-41ee-9470-5f0ce4759ce5,https://myfridgefood.com/recipes/entree-chicken/deep-dish-cordon-blue/,50.0,513.0,12.0,26.3,16.7,11.7,,"directions     Heat oven to 375°F. Spray 13x9-inch (3-quart) glass baking dish with Cooking Spray.   Unroll crescent rolls in baking dish; press perforations to seal. Bake 10 to 13 minutes or until light golden brown.   Meanwhile, in 10-inch skillet, heat butter and oil over medium heat. Add onion and garlic; cook 2 to 3 minutes, stirring frequently, until softened.   Remove from heat; stir in cut-up chicken tenders or Shredded Chicken   Place 8 slices of the Muenster cheese over baked crust.   In small bowl, stir Parmesan cheese, mayonnaise, mustard, lemon juice, honey, horseradish sauce and thyme until well blended.   Spoon half of the mayonnaise mixture evenly over cheese on crust.   Spoon chicken mixture evenly over mayonnaise mixture on crust.   Spoon remaining mayonnaise mixture evenly over chicken.   Cover chicken evenly with ham.   Top with remaining 8 slices Muenster cheese.   Bake 15 to 20 minutes longer or until cheese is melted and filling is thoroughly heated.     from  ChefCookingGuide - more here!!",2024-08-22,http://myfridgefood.com/media/7798/deepdishcordonblue.jpg
015716f0-5043-4e3b-a95d-54ce7f87665a,https://myfridgefood.com/recipes/breakfast/cheesey-eggs/,10.0,235.0,3.0,1.0,19.0,16.0,,"directions                          Butter the Pan Scamble eggs in a bowl Add Cheese Move around pan until done",2024-08-22,http://myfridgefood.com/media/7127/emptyplate-001.jpg
0169d9be-f69a-4572-a4fe-bf81e522ee04,https://myfridgefood.com/recipes/appetizer/chicken-and-hamburger-egg-roll/,10.0,204.0,8.0,5.0,6.0,32.0,,"directions                          Bring cabbage and celery to a boil in a large pot of water and boil for 5 minutes. Drain and cool. In large skillet, stir fry hamburger in 2 tablespoons of oil then chicken, add onions and cook for 1 minute. Remove from skillet and heat. Then add everything together in the large bowl and mix well; set aside to cool. Then assemble with 1/2 cup mixture in each wrap. Seal the edges of egg roll wrap with egg white and press together. Fry in hot oil in a deep saucepan.",2024-08-22,http://myfridgefood.com/media/7127/emptyplate-001.jpg
